VaccinationDate,age_group,first_dose,second_dose,,
02/02/2021,40-49,13899,6240,,
02/02/2021,60-69,2981,4867,,
02/02/2021,20-29,16097,2390,,
02/02/2021,80-89,902,1438,,
02/02/2021,0-19,7509,361,,
03/02/2021,50-59,5863,21023,,
03/02/2021,40-49,11085,7841,,
03/02/2021,30-39,16847,4960,,
03/02/2021,90+,248,322,,
03/02/2021,60-69,2699,7103,,
03/02/2021,70-79,1599,3577,,
03/02/2021,20-29,15058,3850,,
03/02/2021,80-89,896,1678,,
03/02/2021,0-19,5609,461,,
04/02/2021,30-39,23420,7076,,
04/02/2021,40-49,10850,10042,,
04/02/2021,60-69,2360,6046,,
04/02/2021,70-79,1202,2854,,
04/02/2021,50-59,5411,22564,,
04/02/2021,20-29,22308,6234,,
04/02/2021,0-19,5613,1035,,
04/02/2021,80-89,664,1309,,
04/02/2021,90+,155,255,,
05/02/2021,50-59,2758,11371,,
05/02/2021,40-49,5407,5446,,
05/02/2021,60-69,1134,2808,,
05/02/2021,30-39,11351,4036,,
05/02/2021,90+,79,120,,
05/02/2021,70-79,550,1287,,
05/02/2021,80-89,249,586,,
05/02/2021,0-19,2510,456,,
05/02/2021,20-29,9637,2488,,
06/02/2021,50-59,1673,10157,,
06/02/2021,0-19,1785,283,,
06/02/2021,80-89,143,269,,
06/02/2021,20-29,6766,1494,,
06/02/2021,40-49,3163,5266,,
06/02/2021,60-69,587,1573,,
06/02/2021,30-39,7055,2334,,
06/02/2021,90+,35,58,,
06/02/2021,70-79,265,653,,
07/02/2021,0-19,4157,1144,,
07/02/2021,20-29,16333,9587,,
07/02/2021,50-59,4537,23702,,
07/02/2021,40-49,8068,17436,,
07/02/2021,30-39,16732,7187,,
07/02/2021,60-69,2168,5035,,
07/02/2021,70-79,1143,2539,,
07/02/2021,80-89,580,1191,,
07/02/2021,90+,172,243,,
08/02/2021,50-59,4643,17270,,
08/02/2021,80-89,578,926,,
08/02/2021,0-19,3830,1431,,
08/02/2021,20-29,19511,12978,,
08/02/2021,30-39,18481,6746,,
08/02/2021,70-79,1149,2104,,
08/02/2021,90+,138,177,,
08/02/2021,40-49,8097,18859,,
08/02/2021,60-69,2201,4237,,
09/02/2021,0-19,4405,1667,,
09/02/2021,80-89,637,865,,
09/02/2021,20-29,22501,12673,,
09/02/2021,50-59,5652,14902,,
09/02/2021,70-79,1293,2018,,
09/02/2021,40-49,9497,22231,,
09/02/2021,30-39,19519,7995,,
09/02/2021,90+,214,195,,
09/02/2021,60-69,2644,3978,,
10/02/2021,0-19,4743,1587,,
10/02/2021,20-29,23682,11115,,
10/02/2021,80-89,586,843,,
10/02/2021,90+,154,145,,
10/02/2021,50-59,5937,13884,,
10/02/2021,30-39,21060,11024,,
10/02/2021,40-49,10116,27038,,
10/02/2021,70-79,1345,1874,,
10/02/2021,60-69,2770,3874,,
11/02/2021,80-89,645,1017,,
11/02/2021,20-29,27095,10000,,
11/02/2021,0-19,5488,1744,,
11/02/2021,30-39,23729,12831,,
11/02/2021,90+,140,209,,
11/02/2021,50-59,6975,12293,,
11/02/2021,40-49,12295,25852,,
11/02/2021,60-69,3264,4044,,
11/02/2021,70-79,1449,2146,,
12/02/2021,20-29,12685,3746,,
12/02/2021,80-89,284,484,,
12/02/2021,40-49,6045,15034,,
12/02/2021,30-39,11371,7539,,
12/02/2021,90+,65,110,,
12/02/2021,70-79,624,960,,
12/02/2021,0-19,2761,1046,,
